statement,label,__index_level_0__
"To justify support for a position by citing an esteemed or well-known figure who supports it.

Para justificar el apoyo a una posiciÃ³n citando a una figura estimada o conocida que lo apoya.",fallacy of credibility,5346
Science fiction books are not worth the time it takes to read them.,faulty generalization,31
"These test results are clearly wrong, and it must be either because the client was malingering or because I bungled the test administration. Taking another look at the test manual, I see now that I bungled the test administration. Therefore the client was not malingering.",false dilemma,1225
"The number of businesses that use renewable energy has increased, and the number of businesses that are profitable has also increased. Therefore, using renewable energy must be the cause of business profitability.",false causality,937
"If you're a fan of science fiction, you must hate fantasy.",fallacy of extension,1822
"Because the last words spoken by either the pilot or co-pilot were ""Good night, Malaysia Three-Seven-Zero,"" the pilot fell asleep and accidentally crashed the plane into the ocean.",false causality,2110
Why listen to his argument on climate change? He drives a gas-guzzler.,ad hominem,4471
"If you believe in science, you must reject all religion.",fallacy of extension,752
Al Gore feels that all companies are irresponsible and should be punished for allowing emissions which causes global warming.,fallacy of extension,2843
"Humans have had no detectable impact on hurricanes over the past century . . . . Greenland ' s ice sheet isn ' t shrinking any more rapidly today than it was eighty years ago . . . . The net economic impact of human-induced climate change will be minimal through at least the end of this century . 
But Mr. Koonin is no "" climate denier ,  to use the concocted phrase used to shut down debate .",intentional,309
He's only doing this for the fame it brings him.,ad hominem,3246
"Person #1: We need to start high school later in the morning.
Person #2: Oh, so you think we should all just sleep in until noon and have school until it gets dark?",fallacy of extension,4935
"If most people believe it, then it must be true.",ad populum,503
"The climate denialists ' arguments have become so strained that even oil and coal companies have distanced themselves publicly , though some still help to finance the campaigns of politicians who espouse such views .",ad hominem,3454
"If you don't go to camp, you won't have fun this summer, and your whole summer will be ruined!",faulty generalization,4922
"In its 2015 human-rights report on the island nation , the U.S. State Department said that significant problems include "" chronic government corruption , and chronic domestic violence ,  along with "" child abuse , sex trafficking , and lack of legal provisions protecting worker ' s rights. ",ad hominem,3874
"If I say that a surgeon should be allowed to use a guidebook to carry out surgery like a student can use open notes on a test, I have made a",fallacy of logic,5582
"But , alas , it just isn ' t happening .",intentional,3794
Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.,circular reasoning,495
"Jill and Jane have some concerns that the rules their sorority has set are racist in character. Since Jill is a decent person, she brings her concerns up in the next meeting. The president of the sorority assures her that there is nothing wrong with the rules, since the majority of the sisters like them. Jane accepts this ruling but Jill decides to leave the sorority.",ad populum,1405
"Coastal states like Florida , and low-lying island nations are particularly vulnerable . Just 3 feet of sea level rise could put large areas of coastline underwater . Forty percent of the US population resides in coastal areas that are vulnerable to sea level rise .
``",equivocation,4102
"I tried one hiking trail that was challenging, so hiking must be difficult.",faulty generalization,205
"You either work hard, or you're doomed to fail.",false dilemma,1434
"""You are clearly just too young to understand this issue!""",ad hominem,1135
"I know three redheads who have terrible tempers, and since Annabel has red hair, I'll bet she has a terrible temper, too.",faulty generalization,3527
"Sam is riding her bike in her home town in Maine, minding her own business. A station wagon comes up behind her and the driver starts beeping his horn and then tries to force her off the road. As he goes by, the driver yells ""get on the sidewalk where you belong!"" Sam sees that the car has Ohio plates and concludes that all Ohio drivers are jerks.",faulty generalization,868
"Global warming alarmists ' preferred electricity source _ wind power _ kills nearly 1 million bats every year ( to say nothing of the more than 500,000 birds killed every year ) in the United States alone . This appalling death toll occurs every year even while wind power produces just 3 % of U.S. electricity .",appeal to emotion,701
"Every time I go to sleep, the sun goes down. Therefore, my going to sleep causes the sun to set.",false causality,3841
"Senator Jones supports a strong national defense. If you do vote for him, our country will be invaded, and it will start World War III.",appeal to emotion,305
"If we let people wear what they want, society will become completely disorganized.",fallacy of logic,2570
"Within a decade , certain kinds of branching and plate coral could be extinct , reef scientists say , along with a variety of small fish that rely on them for protection from predators .",faulty generalization,1192
"It is said that we have a good understanding of our universe. Therefore, we know exactly how it began and when.",equivocation,5242
"If you allow one student to take an online course, soon
everyone will want to, and the schools will be empty.
Si permite que un estudiante tome un curso en lÃ­nea, pronto todos querrÃ¡n, y las escuelas estarÃ¡n vacÃ­as.",faulty generalization,4527
"All my friends are buying this game, so it must be fun.",ad populum,1534
"Our policy is justified because it's longstanding, and it's longstanding because it's justified.",circular reasoning,1061
Two events last week brought yet further twists to one of the longest-running farces of our modern world .,ad hominem,843
"If you don't go to the party, then your friends will have fun without you. If your friends have fun without you, then they will stop inviting you to fun things. If your friends stop inviting you to fun things, you will have no social life. Therefore, if you don't go to this party, then you will have no social life.",faulty generalization,2776
My close examination of recent research has revealed that serious inconsistencies exist within the polar bear literature and between that literature and public statements made by some researchers .,fallacy of relevance,3588
"You're either dedicated, or you're indifferent.",false dilemma,2366
"Only a mentally ill person would kill someone, so anyone who kills someone is automatically mentally ill.",circular reasoning,4410
You can't criticize my outfit when some people don't even have clothes.,fallacy of relevance,1538
"Even as global ocean temperatures rise to their highest levels in recorded history , some parts of the ocean , near where ice is melting exceptionally fast , are actually cooling , slowing ocean circulation currents and sending weather patterns into a frenzy . Sure enough , a persistently cold patch of ocean is starting to show up just south of Greenland , exactly where previous experimental predictions of a sudden surge of freshwater from melting ice expected it to be .",false causality,211
It's pointless to save money because inflation will devalue it anyway.,fallacy of logic,1340
"""We should abolish the death penalty. Many respected people, such as Imran Kader, have publicly stated their opposition to it.",fallacy of credibility,1108
"If you don't have everything figured out by now, you're behind in life.",false dilemma,3475
"This bar is always packed, so it must be a great place.",ad populum,4518
"Greenland 's ice sheet has melted to a point of no return , and efforts to slow global warming will not stop it from disintegrating .",false dilemma,679
"I'm raising funds to help cure XYZ disease. If you don't donate, then you're part of the problem.",false dilemma,2168
"The one book I read on history was boring, so all history books must be dull.",faulty generalization,5062
"I really deserve an ""A on this paper, professor.  Not only did I study during my grandmother's funeral, but I also passed up the heart transplant surgery, even though that was the first matching donor in 3 years.",appeal to emotion,2698
Exercising is useless because you might still get sick anyway.,fallacy of logic,3869
"They are pleading with state and federal governments for guidance and help , including billions to pay for flood walls , pumps and road improvements that would buy them time . Yet Congress has largely ignored these pleas , and has even tried to block plans by the military to head off future problems at the numerous bases imperiled by a rising sea .",appeal to emotion,565
"The methodology widely used to understand sea temperatures in the scientific community may be based on a mistake , the new study suggests , and so our understanding of climate change might be fundamentally flawed .",fallacy of credibility,2086
"The one politician I saw on TV lied, so all politicians must be liars.",faulty generalization,2404
"Either you love me, or you hate me.",false dilemma,1532
Global human emissions are only 3 per cent of total annual emissions . It has never been shown that human emissions of carbon dioxide drive global warming .,fallacy of logic,5518
"If you want equality, you must think everyone should be treated the same way.",fallacy of extension,680
"A few people I met from that town were unfriendly, so the whole town must be unfriendly.",faulty generalization,5612
Why complain about traffic when other places have it even worse?,fallacy of relevance,180
"Evolution cannot be true. If it were true, we'd all be smelly apes.",appeal to emotion,3509
This snack is healthy because it's made with natural ingredients.,equivocation,2077
"""Yes, we have safety issues in our factory. But we work really hard to make a good product.""",fallacy of relevance,3070
"A rainbow appeared in the sky the day before basketball tryouts, and I made the team! If there's a rainbow when I try out in the spring, I'm sure I'll make the team again.",false causality,4940
"If you allow the students to redo this test, they are going to want to redo every assignment for the rest of the year.",faulty generalization,278
The novelist's family life shapes the themes of this story.,intentional,4894
"Investing in the stock market is pointless, as not everyone who invests becomes wealthy.",fallacy of logic,3631
"The geological archive reveals that Earth ' s climate has varied as long as the planet has existed , with natural cold and warm phases .",fallacy of credibility,1204
Trump is aiming to cut climate change research .,appeal to emotion,2232
"As for those record temperatures brought in 2016 by an exceptionally strong El NiÃ±o , the satellites now show that in recent months global temperatures have plummeted by more that 0.6 degrees : just as happened 17 years ago after a similarly strong El NiÃ±o had also made 1998 the "" hottest year on record  .",false causality,432
I got a promotion after I started wearing a new watch. The watch must have brought me good fortune.,false causality,289
These examples all illustrate that cherry-picking record high temperatures in isolated locations tells absolutely nothing about the Earth ' s climate .,intentional,5030
"""You know me - I've taught Sunday School at your church for years, babysat your children, and served as a playground director for many summers - so you know I can run your preschool.""?",fallacy of credibility,1027
"All men are created equal, so they should all be treated equally in every way.",equivocation,535
The sinister fisherman's suspicious smile frightened the innocent children,appeal to emotion,1559
"But for the sake of argument , say there are merely 15 variables involved in predicting global climate change , and assume that climatologists have mastered each one to a near-perfect accuracy of 95 percent . What are the odds that a climate model built on a system that simple would be reliable ? Less than 50/50 . ( Multiplying .95 by itself 15 times yields 46.3 percent . )",faulty generalization,993
"`` When I tell people what to expect , I say , 'Well , imagine the opening scene of The Sound of Music was filmed outside of Reno , Nevada , ' `` he says . ``",appeal to emotion,1187
"If we legalize marijuana, then more people will try heroin",faulty generalization,188
"I switched toothpaste brands, and the bakery closed. The toothpaste caused the closure.",false causality,2876
"If we let people wear what they want, society will become completely disorganized.",fallacy of logic,5633
Avoiding fast food is pointless; some people eat it regularly and stay fit.,fallacy of logic,2412
Helping others is a waste of time since no one can make a difference on their own.,fallacy of logic,4063
"Your mom thinks you spend too much time playing video games. You bring up that
she spends too much time shopping.",fallacy of relevance,706
It has never been shown that human emissions of carbon dioxide drive global warming .,intentional,4001
Don't focus on my minor health issues when others have it worse.,fallacy of relevance,270
We should pass a constitutional amendment making it illegal to burn the American flag. Anyone who thinks otherwise just hates America.,fallacy of extension,4778
All this could play out in a mere 20 to 50 years  much too quickly for humanity to adapt .,appeal to emotion,4731
"There are seven windows given to animals in the domicile of the head: two nostrils, two eyes, two ears, and a mouth...From this and many other similarities in Nature, too tedious to enumerate, we gather that the number of planets must necessarily be seven.",fallacy of logic,2517
"involves acceptance or rejection of concepts based on their source, not their merit",ad hominem,2650
We have no evidence that the Illuminati ever existed. They must have been so clever they destroyed all the evidence,intentional,4801
"If barren ecosystems constitute an ideal planet , then the alarmist fears of more plant life make sense . On the contrary , global warming realists understand a climate more conducive to richer , more abundant plant life is beneficial rather than harmful .",fallacy of extension,2087
"The rules are fair because they're established, and they're established because they're fair.",circular reasoning,4502
or group in order to discredit an idea with which the person or group is associated; distracts the reader from the real issue,ad hominem,111
"If most people like this type of art, it must be the best.",ad populum,1170
"""We must legalize weed, it is tearing families apart."" Response: ""But look at all those druggies getting arrested, they are obviously criminals.""",fallacy of relevance,1391
"Some of you have objected to the new test batteries that were purchased for our program, alleging that they have no demonstrable validity, were not adequately normed for the kind of clients we see, and are unusable for clients who are physically disabled. What you have conveniently failed to mention, however, is that they cost less than a third of the price for the other tests we had been using, are much easier to learn, and can be administered and scored in less than half the time of the tests we used to use.",fallacy of relevance,2594
"James, the company you work for just filed for bankruptcy! How can I trust you with our money?",faulty generalization,220
"Using terms such as `` battlefield , '' `` siege , '' and `` front , '' those opposed this `` war effort '' have been labeled anything from Nazis to Holocaust deniers . ( I personally have been called a sociopath by climate activist Joe Romm of the Center for American Progress , another story . )",ad hominem,4675
"If we stop monitoring every employee, productivity will collapse.",fallacy of logic,627
The filmmaker's nationality means this movie critiques their country's politics.,intentional,4888
Why are you upset about a parking ticket when others are facing bigger fines?,fallacy of relevance,3011
"Playing on a general tendency for people to fear change , EDF and global warming alarmists argue that changes in the biosphere that make it richer , lusher , and more conducive to life are changes to be feared and opposed .",false dilemma,83
"The company claims to be a pioneer, so it must have no competition.",equivocation,3208
"If you support lowering taxes, you must not care about social programs.",fallacy of extension,790
"The number of people who take vitamin D supplements has increased, and the number of people who have healthy bones has also increased. Therefore, taking vitamin D supplements must be the cause of healthy bones",false causality,2654
"""The Philippines is in poverty because of poor people.""",circular reasoning,461
"If everyone is drinking this, it must be delicious.",ad populum,5097
People who don't support the proposed state minimum wage increase hate the poor.,fallacy of extension,5490
Attempting to learn a language is useless since you might forget it if you don't practice.,fallacy of logic,551
Electric cars provide perhaps a thousandth in climate benefit of their substantial public subsidies .,ad populum,1964
The painter's joy is visible in the vibrant colors they use.,intentional,2917
"P1. Smoking has been empirically proven to cause lung cancer.
C. Therefore, if we eradicate smoking, we will eradicate lung cancer.",false causality,4022
"Television Advertisement: Rush to shop at Super-Mart this weekend, everyone is doing it!",ad populum,198
"Mr. Governor issues a proclamation for the people of his state to pray for rain.  Several months later, it rains.  Praise the gods!",false causality,5470
This is an example of what logic fallacy?,appeal to emotion,3768
"If everyone else thinks this movie is great, then it has to be.",ad populum,402
"Currently , sea-level rise does not seem to depend on ocean temperature , and certainly not on CO2 .",false dilemma,4969
Of course she's against taxes-she's wealthy.,ad hominem,4049
History advises us to welcome warmth and fear cold .,fallacy of credibility,4876
"Using new soap, the council passed a law. My soap influences legislation.",false causality,5522
"The law is good because it's the law, and laws are always good.",circular reasoning,2687
"""If you don't bring a pencil to class... you will end up sad and alone in life.""",faulty generalization,3541
"In return for crippling our economy , the Paris Agreement would do next to nothing to impact global temperatures .",fallacy of logic,5404
"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you're saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.
Charlie: Creo que deberÃ­amos invertir mÃ¡s dinero en las escuelas. La educaciÃ³n pÃºblica de calidad es muy importante.

Bob: ¿Entonces estÃ¡s diciendo que deberÃ­amos recortar el gasto militar y gastarlo en mÃ¡s cuadernos de espiral y crayones? Supongo que quiere que nuestro paÃ­s sea un objetivo dÃ©bil e indefenso para los terroristas.",fallacy of extension,650
Eating healthy is irrelevant since everyone eventually gets some kind of illness.,fallacy of logic,4638
It's pointless to save money because inflation will devalue it anyway.,fallacy of logic,708
Pre-AP kids are smart and creative.,faulty generalization,3933
"This policy is necessary because it's been implemented, and it's been implemented because it's necessary.",circular reasoning,5227
"""Some tall people recently vandalized the park, tall people are irresponsible.""",faulty generalization,3332
"When asked about his comments Trump made on his tape with Billy Bush, Trump responded, ""It's locker room talk, and it's one of those things. I will knock the hell out of ISIS. We're going to defeat ISIS. ISIS happened a number of years ago in a vacuum that was left because of bad judgment. And I will tell you, I will take care of ISIS.",fallacy of relevance,5112
"All this time that you're telling me to improve, you're being lazy yourself.",ad hominem,5413
"No , actually , what this study proves is that there is nothing we can do to stop the Earth ' s naturally occurring climate cycles .",intentional,2436
"I'm an expert in human relations, so I can solve any conflict.",equivocation,1424
"Or the news from Antarctica this past May , when a crack in an ice shelf grew 11 miles in six days , then kept going ; the break now has just three miles to go  by the time you read this , it may already have met the open water , where it will drop into the sea one of the biggest icebergs ever , a process known poetically as "" calving . ",faulty generalization,1216
"By this point you ' ve seen a few summers , probably run through a few sprinklers , burnt your feet on hot pavement  six-year-old you knows what hot feels like .",appeal to emotion,4839
"If you believe in climate change, you must think all industry should shut down.",fallacy of extension,1924
"""We will teach this miserable traitor(Snowball) that he cannot undo our work so easily.""",ad hominem,2550
4 percent of Americans believe that lizard people control politics.,intentional,4664
You shouldn't avoid smoking because non-smokers still get sick too.,fallacy of logic,1738
Bob Jones is a monster who likes to separate immigrant families in detention centers. How could you vote for someone like that??,fallacy of extension,314
"""All eighteen-year-olds have the right to vote because it's legal for them to vote.""",circular reasoning,3270
"I tried one hiking trail that was challenging, so hiking must be difficult.",faulty generalization,2187
"Roommate A: We need to talk about your dog. He keeps peeing everywhere and making a mess.
Roommate B: It's not as big of a problem as your cat. The thing sheds all over my clothes!
The above is an example of",fallacy of relevance,4545
Why worry about minor accidents when others face real dangers?,fallacy of relevance,1427
"As for those record temperatures brought in 2016 by an exceptionally strong El NiÃ±o , the satellites now show that in recent months global temperatures have plummeted by more that 0.6 degrees : just as happened 17 years ago after a similarly strong El NiÃ±o had also made 1998 the "" hottest year on record  .",fallacy of credibility,4466
"We're going to celebrate New Year's Eve this way because that's how we've always done it.
This is an example of ...",fallacy of credibility,4032
Personally attacking someone to shift attention away from your views is,ad hominem,5186
We as the Board can either choose to approve this initial public offering or we can suffer slow annihilation at the hands of our competitors.,false dilemma,4095
"Teacher: You are receiving a zero because you didn't do your homework.

Students: Are you serious? You gave me a zero because you hate me????",fallacy of extension,113
"If you're not a fan of my work, you must dislike everything I do.",fallacy of extension,960
"Elba: I can't believe the art critic said my artwork is awful!
Rowena: He must have meant it in the old sense of the word -- that your artwork inspired awe!
Elba: Yes!  That makes sense now!
",equivocation,4581
"If you're for renewable energy, you must want to stop all traditional energy production.",fallacy of extension,2996
"You cannot blame your friends for a rain delay just because every time they go with you to a ballgame it storms and
play is delayed. Likewise, the fact that a pitcher bought new socks before he pitched a winning game does not mean that new
socks cause a pitcher to throw faster.",false causality,1114
"My answer is correct because I never give wrong answers, and I never give wrong answers because I'm correct.",circular reasoning,4262
"The politician is down-to-earth, so he must not care about luxury.",equivocation,5800
Jim spends most of his spare time hiking and picking up rocks for his collection. He really should go to college and study to become a geologist.,fallacy of logic,3822
"Whitehouse , a scientist who works with Lord Lawson ' s sceptic Global Warming Policy Foundation , said the massive fall in temperatures following the end of El Nino meant the warming hiatus or slowdown may be coming back .",faulty generalization,684
"They say there is great uncertainty , and they reflected this uncertainty in their fifth and latest assessment for the United Nations Intergovernmental Panel on Climate Change ( IPCC ) .",equivocation,4653
"If you support income redistribution, you must think everyone should be paid the same.",fallacy of extension,4327
"My advice is sound because I give good advice, and you should listen to it because it's sound.",circular reasoning,5247
present ideas that elicit strong feelings,appeal to emotion,1881
People who have to have a cup of coffee every morning before they can function have no less a problem than alcoholics who have to have their alcohol each day to sustain them.,fallacy of logic,2312
Attempting to learn a language is useless since you might forget it if you don't practice.,fallacy of logic,3471
"""America: Love it or leave it""
This is an example of which kind of logical fallacy?",false dilemma,2972
My child was diagnosed with autism after receiving vaccinations. That is proof that vaccines are to blame.,false causality,1634
"You're either focused, or you're distracted.",false dilemma,2815
very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,false causality,5769
"Falsely requiring an opponent to ""disprove instead
of you ""proving your argument",intentional,5231
"Sadly , these supposed experts use mathematical equations that do not jive with reality over the past 140 years .",ad hominem,2609
"The implications for climate change are obvious . "" The world that they ' re going to be comfortable in is wildly different from the one that we feel comfortable in .",fallacy of relevance,2115
FDR was a mighty engine pulling country out of desert of Great Depression,fallacy of logic,1858
"I saw one person not recycling, so people here must not care about recycling.",faulty generalization,2095
"Zebedee: What is your view on the Christian God?
Mike: I don't believe in any gods, including the Christian one.
Zebedee: So you think that we are here by accident, and all this design in nature is pure chance, and the universe just created itself?
Mike: You got all that from me stating that I just don't believe in any gods?
",fallacy of extension,326
"Thanks to her enduring popularity with employees, Sophia Lloyd is the best-liked CEO in our company's history.",circular reasoning,604
"The Intergovernmental Panel on
Climate Change ' s "" scientific  recommendations , for example , include "" reduced gender
inequality & marginalization in other forms ,  "" provisioning of adequate housing ,  "" cash
transfers  and "" awareness raising & integrating into education. ",intentional,5389
Has your psychology department stopped teaching that ineffective approach to therapy yet?,circular reasoning,1695
"The U.S. government is at it again , hyping meaningless records in a parameter that does not exist in order to frighten us about something that doesn ' t matter .",fallacy of extension,4371
"My opponent raises a good point, but can we really trust him? I mean, he moved to this town only two years ago, and everyone knows that his wife left him.",ad hominem,4350
""" The more we learn , the more fragile the Earth system seems to be and the faster we need to move ,  he said . """,fallacy of logic,3410
"This diet must be healthy because it's popular, and it's popular because it's healthy.",circular reasoning,5012
"Child: This fish tastes funny. I don't want to eat this.
Parent: There are children starving in Africa. Eat your dinner.",fallacy of relevance,2094
"An environmental group illegally blocked loggers and workers at a nuclear plant. Therefore, environmentalists are radicals who take the law into their own hands.",faulty generalization,4889
Students are poor writers because they watch too much TV,false causality,3966
Why complain about being bored when others have no time for fun?,fallacy of relevance,1288
"Good people don't lie. You told a lie. Therefore, you are not a good person.",fallacy of logic,2154
There is no proof the current rate of change in Antarctica will continue .,intentional,3784
"the analogy 'animal Auschwitz,' which compares the treatment of animals to the treatment of Jews, gays and other groups during the Nazi era.",fallacy of logic,2409
"If we don't stop them, they'll take over everything.",false dilemma,3534
"Victor, the company you work for just filed for bankruptcy! How can I trust you with our money?",faulty generalization,3989
